Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,92.0,99.0,84.0,84.0,,84.0,73.0,91.0,,84.0,,74.0,84.0,West & Central Africa
2017,87.0,99.0,86.0,86.0,,86.0,29.0,87.0,,86.0,,74.0,84.0,West & Central Africa
2016,97.0,99.0,79.0,79.0,,79.0,,80.0,,79.0,,35.0,73.0,West & Central Africa
2015,74.0,77.0,52.0,52.0,,52.0,,64.0,,56.0,,,56.0,West & Central Africa
2014,73.0,74.0,50.0,50.0,,50.0,,58.0,,45.0,,,54.0,West & Central Africa
2013,87.0,97.0,76.0,76.0,,76.0,,74.0,,,,,73.0,West & Central Africa
2012,85.0,92.0,80.0,80.0,,80.0,,80.0,,,,,78.0,West & Central Africa
2011,85.0,86.0,77.0,77.0,,77.0,,71.0,,,,,70.0,West & Central Africa
2010,73.0,80.0,70.0,47.0,,47.0,,65.0,,,,,64.0,West & Central Africa
2009,87.0,90.0,81.0,64.0,,64.0,,83.0,,,,,83.0,West & Central Africa
2008,85.0,85.0,75.0,64.0,,64.0,,76.0,,,,,74.0,West & Central Africa
2007,77.0,80.0,65.0,,,,,71.0,,,,,64.0,West & Central Africa
2006,77.0,75.0,60.0,,,,,63.0,,,,,57.0,West & Central Africa
2005,76.0,75.0,60.0,,,,,62.0,,,,,58.0,West & Central Africa
2004,60.0,65.0,31.0,,,,,41.0,,,,,34.0,West & Central Africa
2003,64.0,69.0,35.0,,,,,47.0,,,,,28.0,West & Central Africa
2002,69.0,73.0,39.0,,,,,52.0,,,,,39.0,West & Central Africa
2001,73.0,76.0,42.0,,,,,58.0,,,,,56.0,West & Central Africa
2000,78.0,80.0,46.0,,,,,63.0,,,,,,West & Central Africa
1999,82.0,84.0,50.0,,,,,69.0,,,,,,West & Central Africa
1998,,,,,,,,,,,,,,West & Central Africa
1997,,,,,,,,,,,,,,West & Central Africa
1996,,,,,,,,,,,,,,West & Central Africa
1995,,,,,,,,,,,,,,West & Central Africa
1994,,,,,,,,,,,,,,West & Central Africa
1993,,,,,,,,,,,,,,West & Central Africa
1992,,,,,,,,,,,,,,West & Central Africa
1991,,,,,,,,,,,,,,West & Central Africa
1990,,,,,,,,,,,,,,West & Central Africa
1989,,,,,,,,,,,,,,West & Central Africa
1988,,,,,,,,,,,,,,West & Central Africa
1987,,,,,,,,,,,,,,West & Central Africa
1986,,,,,,,,,,,,,,West & Central Africa
1985,,,,,,,,,,,,,,West & Central Africa
1984,,,,,,,,,,,,,,West & Central Africa
1983,,,,,,,,,,,,,,West & Central Africa
1982,,,,,,,,,,,,,,West & Central Africa
1981,,,,,,,,,,,,,,West & Central Africa
1980,,,,,,,,,,,,,,West & Central Africa
