Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,97.0,97.0,95.0,95.0,,95.0,29.0,99.0,88.0,95.0,99.0,96.0,Eastern & Southern Africa
2017,97.0,97.0,95.0,95.0,,95.0,,99.0,88.0,95.0,,96.0,Eastern & Southern Africa
2016,97.0,97.0,95.0,95.0,,95.0,,99.0,88.0,95.0,,96.0,Eastern & Southern Africa
2015,97.0,98.0,95.0,95.0,,95.0,,97.0,88.0,,,96.0,Eastern & Southern Africa
2014,97.0,97.0,94.0,94.0,,94.0,,90.0,,,,25.0,Eastern & Southern Africa
2013,97.0,97.0,94.0,94.0,,94.0,,94.0,,,,,Eastern & Southern Africa
2012,97.0,97.0,94.0,94.0,,94.0,,98.0,,,,,Eastern & Southern Africa
2011,97.0,97.0,94.0,94.0,,94.0,,98.0,,,,,Eastern & Southern Africa
2010,98.0,98.0,95.0,95.0,,95.0,,97.0,,,,,Eastern & Southern Africa
2009,98.0,98.0,95.0,95.0,,95.0,,97.0,,,,,Eastern & Southern Africa
2008,99.0,98.0,95.0,95.0,,95.0,,96.0,,,,,Eastern & Southern Africa
2007,99.0,98.0,95.0,95.0,,,,96.0,,,,,Eastern & Southern Africa
2006,99.0,97.0,94.0,94.0,,,,95.0,,,,,Eastern & Southern Africa
2005,99.0,99.0,96.0,96.0,,,,95.0,,,,,Eastern & Southern Africa
2004,99.0,99.0,98.0,84.0,,,,96.0,,,,,Eastern & Southern Africa
2003,97.0,97.0,93.0,91.0,,,,92.0,,,,,Eastern & Southern Africa
2002,94.0,94.0,90.0,86.0,,,,83.0,,,,,Eastern & Southern Africa
2001,91.0,91.0,86.0,,,,,84.0,,,,,Eastern & Southern Africa
2000,89.0,88.0,81.0,,,,,76.0,,,,,Eastern & Southern Africa
1999,98.0,97.0,93.0,,,,,88.0,,,,,Eastern & Southern Africa
1998,96.0,90.0,86.0,,,,,79.0,,,,,Eastern & Southern Africa
1997,83.0,83.0,75.0,,,,,73.0,,,,,Eastern & Southern Africa
1996,75.0,75.0,66.0,,,,,66.0,,,,,Eastern & Southern Africa
1995,68.0,68.0,58.0,,,,,58.0,,,,,Eastern & Southern Africa
1994,60.0,61.0,49.0,,,,,51.0,,,,,Eastern & Southern Africa
1993,40.0,49.0,32.0,,,,,34.0,,,,,Eastern & Southern Africa
1992,,,,,,,,,,,,,Eastern & Southern Africa
1991,,,,,,,,,,,,,Eastern & Southern Africa
1990,,,,,,,,,,,,,Eastern & Southern Africa
1989,,,,,,,,,,,,,Eastern & Southern Africa
1988,,,,,,,,,,,,,Eastern & Southern Africa
1987,,,,,,,,,,,,,Eastern & Southern Africa
1986,,,,,,,,,,,,,Eastern & Southern Africa
1985,,,,,,,,,,,,,Eastern & Southern Africa
1984,,,,,,,,,,,,,Eastern & Southern Africa
1983,,,,,,,,,,,,,Eastern & Southern Africa
1982,,,,,,,,,,,,,Eastern & Southern Africa
1981,,,,,,,,,,,,,Eastern & Southern Africa
1980,,,,,,,,,,,,,Eastern & Southern Africa
