Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,93.0,94.0,92.0,92.0,73.0,92.0,84.0,84.0,70.0,84.0,84.0,,East Asia & Pacific
2017,99.0,94.0,93.0,93.0,79.0,93.0,68.0,84.0,72.0,82.0,84.0,,East Asia & Pacific
2016,99.0,94.0,93.0,93.0,87.0,93.0,82.0,84.0,67.0,87.0,84.0,,East Asia & Pacific
2015,99.0,94.0,92.0,92.0,88.0,92.0,,84.0,61.0,68.0,84.0,,East Asia & Pacific
2014,98.0,94.0,91.0,91.0,91.0,91.0,,83.0,62.0,,83.0,,East Asia & Pacific
2013,96.0,94.0,86.0,86.0,62.0,86.0,,79.0,52.0,,79.0,,East Asia & Pacific
2012,99.0,97.0,90.0,91.0,68.0,89.0,,84.0,41.0,,,,East Asia & Pacific
2011,98.0,95.0,91.0,91.0,68.0,88.0,,88.0,,,,,East Asia & Pacific
2010,95.0,93.0,90.0,91.0,56.0,86.0,,90.0,,,,,East Asia & Pacific
2009,96.0,99.0,94.0,92.0,52.0,,,92.0,,,,,East Asia & Pacific
2008,98.0,95.0,91.0,91.0,43.0,,,89.0,,,,,East Asia & Pacific
2007,90.0,87.0,82.0,82.0,22.0,,,79.0,,,,,East Asia & Pacific
2006,87.0,85.0,80.0,80.0,,,,78.0,,,,,East Asia & Pacific
2005,87.0,85.0,82.0,,,,,79.0,,,,,East Asia & Pacific
2004,95.0,92.0,85.0,,,,,80.0,,,,,East Asia & Pacific
2003,76.0,74.0,69.0,,,,,65.0,,,,,East Asia & Pacific
2002,63.0,60.0,54.0,,,,,52.0,,,,,East Asia & Pacific
2001,64.0,65.0,60.0,,,,,59.0,,,,,East Asia & Pacific
2000,81.0,78.0,59.0,,,,,65.0,,,,,East Asia & Pacific
1999,78.0,73.0,53.0,,,,,63.0,,,,,East Asia & Pacific
1998,69.0,78.0,47.0,,,,,54.0,,,,,East Asia & Pacific
1997,67.0,62.0,46.0,,,,,50.0,,,,,East Asia & Pacific
1996,68.0,59.0,43.0,,,,,56.0,,,,,East Asia & Pacific
1995,69.0,55.0,39.0,,,,,62.0,,,,,East Asia & Pacific
1994,63.0,53.0,37.0,,,,,50.0,,,,,East Asia & Pacific
1993,57.0,51.0,35.0,,,,,36.0,,,,,East Asia & Pacific
1992,50.0,48.0,32.0,,,,,33.0,,,,,East Asia & Pacific
1991,56.0,63.0,38.0,,,,,39.0,,,,,East Asia & Pacific
1990,52.0,63.0,38.0,,,,,34.0,,,,,East Asia & Pacific
1989,55.0,72.0,47.0,,,,,39.0,,,,,East Asia & Pacific
1988,58.0,70.0,45.0,,,,,39.0,,,,,East Asia & Pacific
1987,61.0,62.0,37.0,,,,,53.0,,,,,East Asia & Pacific
1986,47.0,62.0,37.0,,,,,54.0,,,,,East Asia & Pacific
1985,33.0,47.0,23.0,,,,,29.0,,,,,East Asia & Pacific
1984,27.0,40.0,17.0,,,,,27.0,,,,,East Asia & Pacific
1983,,,,,,,,,,,,,East Asia & Pacific
1982,,,,,,,,,,,,,East Asia & Pacific
1981,,,,,,,,,,,,,East Asia & Pacific
1980,,,,,,,,,,,,,East Asia & Pacific
