Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,99.0,99.0,99.0,96.0,,99.0,99.0,99.0,,99.0,,East Asia & Pacific
2017,99.0,99.0,99.0,99.0,96.0,,99.0,99.0,99.0,,99.0,,East Asia & Pacific
2016,99.0,99.0,99.0,99.0,96.0,,,99.0,99.0,,99.0,,East Asia & Pacific
2015,99.0,99.0,99.0,99.0,96.0,,,99.0,99.0,,95.0,,East Asia & Pacific
2014,99.0,99.0,99.0,99.0,94.0,,,99.0,99.0,,98.0,,East Asia & Pacific
2013,99.0,99.0,99.0,99.0,99.0,,,99.0,99.0,,96.0,,East Asia & Pacific
2012,99.0,99.0,99.0,99.0,96.0,,,99.0,99.0,,95.0,,East Asia & Pacific
2011,99.0,99.0,99.0,99.0,95.0,,,99.0,99.0,,86.0,,East Asia & Pacific
2010,99.0,99.0,99.0,99.0,92.0,,,99.0,99.0,,62.0,,East Asia & Pacific
2009,99.0,99.0,99.0,99.0,93.0,,,99.0,98.0,,,,East Asia & Pacific
2008,97.0,99.0,97.0,95.0,91.0,,,97.0,95.0,,,,East Asia & Pacific
2007,94.0,99.0,93.0,92.0,86.0,,,94.0,92.0,,,,East Asia & Pacific
2006,92.0,99.0,93.0,91.0,88.0,,,93.0,94.0,,,,East Asia & Pacific
2005,86.0,95.0,87.0,84.0,86.0,,,86.0,84.0,,,,East Asia & Pacific
2004,86.0,95.0,87.0,79.0,76.0,,,86.0,,,,,East Asia & Pacific
2003,85.0,95.0,86.0,75.0,,,,85.0,,,,,East Asia & Pacific
2002,85.0,95.0,86.0,70.0,,,,85.0,,,,,East Asia & Pacific
2001,85.0,95.0,86.0,65.0,,,,85.0,,,,,East Asia & Pacific
2000,84.0,94.0,85.0,60.0,,,,84.0,,,,,East Asia & Pacific
1999,84.0,94.0,85.0,,,,,84.0,,,,,East Asia & Pacific
1998,83.0,94.0,84.0,,,,,83.0,,,,,East Asia & Pacific
1997,83.0,94.0,84.0,,,,,83.0,,,,,East Asia & Pacific
1996,84.0,94.0,83.0,,,,,84.0,,,,,East Asia & Pacific
1995,79.0,93.0,80.0,,,,,80.0,,,,,East Asia & Pacific
1994,89.0,95.0,85.0,,,,,75.0,,,,,East Asia & Pacific
1993,92.0,96.0,88.0,,,,,81.0,,,,,East Asia & Pacific
1992,94.0,97.0,91.0,,,,,87.0,,,,,East Asia & Pacific
1991,97.0,97.0,94.0,,,,,92.0,,,,,East Asia & Pacific
1990,99.0,98.0,97.0,,,,,98.0,,,,,East Asia & Pacific
1989,98.0,98.0,95.0,,,,,95.0,,,,,East Asia & Pacific
1988,98.0,98.0,95.0,,,,,95.0,,,,,East Asia & Pacific
1987,85.0,91.0,75.0,,,,,77.0,,,,,East Asia & Pacific
1986,70.0,92.0,78.0,,,,,63.0,,,,,East Asia & Pacific
1985,64.0,92.0,78.0,,,,,88.0,,,,,East Asia & Pacific
1984,59.0,90.0,73.0,,,,,84.0,,,,,East Asia & Pacific
1983,34.0,80.0,58.0,,,,,78.0,,,,,East Asia & Pacific
1982,,,,,,,,,,,,,East Asia & Pacific
1981,,,,,,,,,,,,,East Asia & Pacific
1980,,,,,,,,,,,,,East Asia & Pacific
